uid;cutlery_grouped_uid;tips_grouped_uid;order_grouped_uid
615188;2;50;534
547353;3;77;532
878459;3;63;664
459579;4;30;469
973532;3;65;608
756309;3;63;758
877105;3;58;888
794856;4;81;688
777409;3;63;570
710064;3;50;655
244486;2;50;684
333116;3;70;629
765922;4;79;674
930554;3;67;729
574533;3;53;753
119384;3;79;702
696773;4;80;676
938690;4;68;637
525141;4;53;793
890091;3;50;601
289598;1;40;626
196254;3;65;616
284591;1;40;700
747811;4;86;741
992222;4;72;605
849721;2;35;526
616314;3;54;526
719109;3;50;743
888033;5;67;604
146702;4;81;704
919682;3;35;497
506630;4;65;743
753905;4;76;540
944057;4;52;438
241443;3;54;540
660160;3;84;587
486288;4;83;729
702730;3;63;593
184659;4;81;585
547793;2;20;635
335869;3;40;651
510047;4;10;605
539675;4;52;445
536995;4;67;514
535765;2;40;852
785937;3;47;643
516429;3;63;626
631955;4;83;629
798833;3;53;648
650190;1;35;540
723039;4;79;637
576327;4;80;725
199657;4;83;612
124820;3;65;673
546958;2;50;601
715930;3;35;763
634711;4;70;609
488937;3;54;524
682390;3;67;639
296686;4;60;447
214855;4;48;503
845753;4;84;637
753102;3;50;417
948773;3;56;426
401862;4;57;807
133384;3;63;542
734573;3;43;707
103976;3;50;431
894398;4;81;745
614489;3;62;568
863661;1;50;635
238357;2;50;794
606963;3;65;599
868386;2;54;504
843579;3;47;716
320489;3;52;498
189423;4;30;513
852371;4;81;755
320995;2;68;509
791868;4;60;576
400054;4;81;647
851124;4;56;651
629776;3;53;867
915722;4;73;602
469086;3;52;618
250291;4;35;584
278419;3;67;513
190418;3;81;691
928342;2;40;819
920865;4;40;718
835685;3;53;713
474484;3;70;402
219995;4;80;779
716638;4;52;490
197887;3;52;389
488022;3;58;552
310181;4;79;581
278657;2;65;585
114148;4;68;522
568453;3;80;715
118256;3;67;443
423778;3;79;610
170794;4;70;603
793364;2;50;587
335226;4;63;511
545532;3;25;861
779884;4;47;658
606737;3;52;593
196953;4;73;806
908209;3;56;523
376346;3;50;750
158480;4;51;480
235596;2;65;781
292288;3;68;574
247210;3;65;699
937018;2;50;459
333129;4;47;589
233102;4;44;427
854388;3;63;563
912449;3;54;576
337822;4;43;490
330456;2;45;517
461359;2;35;619
900525;4;80;532
418959;2;53;628
547251;4;70;609
714293;3;62;645
479086;3;70;605
764454;4;67;648
209602;3;48;501
439998;3;55;634
161456;3;84;717
940400;3;30;890
447082;4;62;585
376441;4;68;388
113079;4;43;485
852397;4;87;555
907137;4;50;488
249592;3;30;600
655823;3;46;517
229940;3;65;714
197273;3;58;662
680148;1;35;599
413685;3;50;638
302360;3;68;592
635870;3;53;591
307002;2;53;697
247360;4;62;638
898293;3;54;417
183437;3;80;673
631830;3;20;943
771150;4;58;774
190768;3;65;444
349431;4;80;568
469862;4;50;738
926645;3;40;720
219645;2;58;687
516289;4;86;692
619333;4;52;379
977239;4;68;530
275192;3;52;414
605794;4;40;628
458723;4;79;812
196883;3;58;706
565041;4;86;688
821707;4;60;771
989959;4;46;404
584561;2;47;642
948557;3;47;714
675459;3;84;684
272299;3;67;719
495828;3;30;512
191783;3;70;527
316070;3;35;868
906926;4;81;724
213067;3;53;685
486378;2;43;619
569674;4;83;688
269546;5;65;475
987488;3;58;800
927527;3;48;631
329650;4;83;709
387702;3;43;570
127502;4;65;528
317377;4;81;748
774428;4;50;630
523182;2;53;805
709811;3;84;631
172767;3;70;804
127448;4;81;646
740034;3;56;578
220030;3;65;776
213352;4;20;765
293104;4;52;588
858611;4;62;465
783772;4;67;563
762967;3;62;469
233354;4;60;864
713726;3;65;598
134021;3;40;564
440399;4;77;643
596381;3;30;398
399912;4;70;438
994919;4;63;567
211890;3;77;721
543221;4;81;715
707056;4;60;603
889144;4;68;661
814159;4;68;503
353211;2;53;659
424677;3;63;606
881481;3;54;490
938135;3;84;635
753173;3;79;747
260322;2;35;824
494424;4;80;687
564884;3;50;526
254029;4;81;604
517453;4;20;887
708801;3;53;929
666242;4;67;475
142597;4;80;686
524854;3;56;481
386357;2;54;640
274797;3;54;598
976098;3;65;578
141425;4;52;628
841191;4;63;543
876984;3;50;598
684636;4;63;458
595923;2;70;488
472093;3;80;606
100395;4;63;630
474824;4;40;556
860555;4;77;651
681325;2;63;650
248725;3;60;706
729505;4;70;556
414143;4;58;436
513287;4;20;366
217094;3;63;650
769438;3;52;553
221578;4;56;497
415445;3;50;661
686800;3;63;655
904867;4;70;508
612078;4;81;583
715799;4;84;697
675376;4;48;398
530065;2;73;621
664366;3;53;674
846426;3;54;518
415022;3;89;808
919071;4;10;541
296044;4;68;716
326445;3;48;604
543635;3;72;483
966508;4;77;829
395517;3;76;527
407838;3;50;475
385435;3;70;482
513438;3;79;656
856216;3;56;465
801015;3;52;559
850097;2;73;695
970380;2;45;494
311788;3;46;551
393128;2;65;603
766972;2;53;687
500277;4;80;833
580210;3;63;567
336103;3;60;396
293538;2;43;785
196304;3;53;710
936340;4;68;388
884326;4;65;656
498003;4;46;544
975407;2;40;703
642547;3;76;592
544676;3;43;632
328401;4;65;509
408440;3;53;554
132988;4;79;585
765621;4;52;414
494787;4;73;598
885023;3;58;373
953571;4;10;684
189731;3;67;421
783720;3;65;874
167212;4;67;569
232003;4;84;710
736320;3;53;457
198441;3;46;551
675949;4;48;446
652436;3;52;401
682015;4;77;644
182651;4;84;630
780234;4;52;535
872096;4;20;912
314063;4;79;502
694695;4;81;716
695899;3;54;629
735456;2;35;698
692014;4;76;500
738940;3;63;537
929024;4;67;685
597363;2;30;557
376821;4;70;798
452457;3;53;766
385351;4;81;554
812987;2;57;510
591898;4;62;534
607717;3;81;624
818044;4;65;641
138272;3;50;479
600051;2;75;593
993408;3;45;530
562612;4;76;705
722774;4;67;534
753566;3;63;570
794434;4;53;586
432283;3;53;491
178234;4;79;562
697815;3;70;503
966903;3;81;640
452536;4;63;839
886582;3;47;868
812707;4;84;575
305171;3;77;696
100320;4;62;518
876479;3;68;714
638945;4;52;379
586658;3;84;733
384901;3;48;460
728720;3;79;589
775506;3;81;737
472314;3;50;545
335699;4;65;647
713710;5;65;507
693693;3;52;464
174131;4;54;547
354668;3;30;742
736733;3;63;567
139368;4;67;689
715884;3;68;701
666380;4;68;524
976201;2;53;815
373509;4;60;452
543482;2;67;669
862922;3;68;652
992751;4;62;601
856174;3;43;696
685181;3;79;626
420770;5;65;608
612716;4;52;568
687970;2;65;527
892785;4;81;687
475715;3;65;567
120430;2;63;608
196029;3;67;672
399845;4;63;421
880145;3;83;571
144195;3;54;499
423497;3;54;357
672450;2;47;489
153808;3;56;479
945275;3;77;662
575840;4;63;685
713468;3;63;378
238930;3;84;644
982666;4;79;589
817120;3;83;589
790468;4;63;445
678189;2;47;598
697824;3;47;667
879320;4;67;582
867008;2;40;395
700897;3;79;705
526174;4;63;521
184733;3;35;662
984588;3;83;776
483460;4;81;642
613633;3;65;431
798910;4;50;505
803654;4;76;627
588082;2;50;883
293480;4;83;673
204715;4;40;525
790789;4;67;579
299083;3;65;524
725267;4;80;642
259133;4;77;830
636366;3;79;703
794431;2;35;726
114736;4;81;679
872586;4;80;806
579617;3;84;738
663046;3;68;689
636681;2;30;486
716023;2;63;660
277061;3;68;509
120502;3;43;696
958020;3;65;547
922008;3;63;600
450585;4;80;763
358573;2;70;580
354820;3;52;547
731933;3;65;534
557993;3;80;620
486570;3;48;450
877086;2;53;638
146493;4;65;515
290126;4;62;488
804399;4;86;638
832539;1;30;704
830792;4;65;560
485165;4;50;552
620992;4;67;500
928794;3;83;686
100637;3;35;571
262749;4;81;757
691999;3;68;675
275793;4;45;744
688036;4;77;634
553834;4;68;614
215837;3;50;517
110781;3;52;497
531259;2;40;792
328383;2;50;493
820572;3;81;618
228732;4;80;725
914526;3;57;452
998832;3;72;653
303636;2;70;630
755074;3;20;456
834305;3;72;520
800029;3;60;315
482956;3;52;503
462020;3;83;553
959555;3;58;764
726123;3;65;657
792214;3;47;500
674489;3;84;656
874419;4;81;574
637008;3;63;605
795900;4;68;762
925846;4;62;707
430265;3;65;698
214396;3;48;506
955938;3;60;564
191396;4;70;472
368048;3;56;534
532334;4;50;455
759169;3;56;610
711181;4;54;573
836246;4;54;533
196346;3;79;779
771751;4;67;710
267575;2;68;651
209678;4;84;557
797401;4;52;615
833012;4;67;657
815617;3;70;758
830455;4;54;440
774639;4;40;562
256453;3;77;527
950186;3;68;697
285685;3;81;713
815518;4;80;658
311514;3;84;594
593305;3;46;605
813263;5;63;504
341681;4;87;657
989320;4;52;535
768249;4;68;615
940340;3;86;771
293004;4;77;482
210118;4;79;668
776059;3;63;678
147589;4;67;572
598788;4;81;522
233744;3;80;763
808794;2;65;703
823374;4;50;560
621333;3;72;601
305444;4;79;610
967407;2;35;616
527735;3;56;456
729643;3;30;559
825953;3;73;816
531610;1;50;713
983310;4;60;691
550654;3;65;557
472117;3;57;662
414510;2;53;849
556184;3;52;514
124635;4;63;606
279444;3;77;595
141056;4;81;704
866866;4;63;706
700882;2;54;493
315031;3;63;568
318446;2;47;479
928031;2;35;615
711645;4;81;716
340538;3;50;633
836717;2;50;538
562167;3;30;668
272544;3;54;571
851665;3;54;594
794690;3;70;696
803410;4;48;562
819447;2;57;534
566394;3;72;434
814509;4;73;624
416251;2;20;292
257237;2;47;706
524315;4;65;669
250620;3;25;519
824631;4;52;487
475112;4;79;666
870655;3;67;573
833888;2;20;608
793533;3;79;571
548711;4;65;503
424161;4;80;686
963336;3;56;493
908227;3;83;769
401983;4;87;656
196611;4;72;558
578764;3;67;539
908210;2;60;609
618590;3;81;697
465345;3;63;710
525177;3;80;811
348860;4;70;683
352478;3;63;576
157543;3;53;756
221161;3;73;708
505238;5;54;654
399110;3;10;689
945779;3;73;568
633440;3;53;748
133793;2;52;530
566240;3;47;744
514440;2;52;364
727936;3;63;597
252047;4;79;663
518831;3;48;521
302108;4;76;669
441450;2;47;641
210389;3;57;447
374110;4;52;427
690428;3;52;627
866123;3;53;409
391687;2;65;539
923743;2;20;341
168319;3;84;765
237754;3;60;730
654247;3;47;389
106650;4;50;483
394593;3;52;372
993559;3;53;727
365666;3;40;742
483939;3;53;655
997120;3;50;548
167534;4;80;624
257167;3;65;715
250352;4;65;608
312072;4;50;599
535740;2;57;762
907948;3;58;524
620246;4;63;723
306311;3;68;580
854245;3;50;508
201008;4;63;604
225582;4;83;623
105896;3;53;713
107472;3;60;596
504755;3;68;468
499064;2;54;696
575023;3;30;668
767038;2;47;682
285116;4;63;449
572633;3;52;465
275367;4;65;554
108744;3;70;772
189156;2;63;779
422615;4;84;710
359588;3;54;437
965121;3;35;529
455698;2;40;433
348761;3;63;489
866105;2;25;426
669454;4;68;521
494805;3;52;504
253328;3;53;892
764715;4;80;634
669707;4;83;622
622571;4;83;624
818963;4;53;584
957128;2;68;650
506731;3;60;617
200603;3;46;567
858240;3;50;776
491461;3;54;416
274864;4;65;546
178746;4;76;539
419756;4;65;586
238877;4;55;814
466764;4;86;628
125609;3;35;570
887772;4;76;634
789928;4;68;524
430951;4;20;822
593234;5;68;515
830802;3;81;688
964662;3;67;537
844332;4;83;641
582636;3;81;688
767073;3;79;539
456458;1;50;637
607983;3;79;682
270818;2;35;721
799001;3;53;699
550824;3;81;566
256497;3;86;824
782763;3;50;589
279206;4;67;564
523735;3;60;669
539621;4;54;409
868322;3;50;715
316405;4;56;570
169512;3;48;395
501115;4;67;629
810649;3;50;861
182523;3;81;743
560384;3;65;435
657128;2;35;838
866649;2;53;460
240756;4;73;613
500691;3;52;687
206729;3;60;642
559999;3;76;569
349451;3;63;665
375007;4;30;687
833644;3;54;572
387647;5;54;451
937708;4;80;634
243260;3;72;663
394896;2;60;649
613376;4;58;819
748548;2;50;767
505296;4;52;416
601111;3;52;478
729418;3;76;706
107355;4;54;579
145487;1;20;903
286873;3;52;556
257285;4;52;659
676726;3;57;636
408685;2;43;449
461704;3;56;374
570082;3;67;656
952328;3;40;413
325873;3;67;616
558390;3;57;723
402690;3;87;582
334196;3;53;605
431910;3;60;546
397297;4;80;642
886390;3;60;517
118953;3;35;444
975752;3;53;450
171276;3;56;572
615410;4;60;790
610801;4;67;504
915905;2;53;661
454790;4;68;610
533419;1;53;600
288276;2;47;635
638570;3;40;579
402581;4;68;451
750904;2;20;941
345130;4;62;604
838127;3;77;609
451791;4;65;604
127609;3;30;878
896636;3;54;538
775679;3;79;709
882803;3;65;466
947763;4;72;581
460246;3;70;658
211925;3;80;760
550556;4;67;625
754806;3;62;554
229615;4;68;423
781017;2;60;631
125421;4;80;701
880667;3;70;507
367079;2;30;544
423918;4;70;573
260652;4;60;896
776464;2;35;614
892831;2;53;498
437624;4;35;676
501247;4;72;660
415220;2;68;418
105283;3;77;776
665499;4;67;529
709176;3;53;647
867658;4;67;569
288901;4;80;662
682484;4;63;543
540487;4;75;596
487683;4;73;601
802816;3;52;556
518474;3;50;636
750722;4;67;505
598863;2;65;479
634137;4;70;583
936369;4;83;771
242949;3;53;735
278606;4;83;588
442782;3;43;459
496017;3;44;562
805167;3;25;536
272399;4;79;664
233272;3;40;715
863010;4;57;500
875057;3;35;736
161759;4;84;688
130680;2;53;467
995550;3;84;469
682334;4;10;715
216547;3;50;715
948352;3;40;823
590712;4;77;711
676668;3;68;645
377635;4;70;537
335415;4;54;557
669193;3;68;594
371778;4;81;531
311894;3;63;568
650776;3;60;699
817442;4;54;657
417368;3;77;590
849920;3;67;707
581997;4;84;654
852477;3;56;501
120309;3;84;820
551761;3;70;635
462148;4;48;437
273770;4;70;636
107130;4;79;452
734473;4;65;716
591626;3;62;623
821681;3;52;536
441354;4;54;707
353664;1;47;571
587687;2;63;732
200174;3;70;509
461033;3;50;711
478293;3;63;514
112384;2;47;625
602925;3;79;648
687920;3;52;554
334937;2;60;473
444656;2;30;581
853350;3;52;481
868186;3;53;691
970099;3;68;534
501496;3;52;652
549763;3;60;533
818676;4;68;603
323788;3;50;603
333086;3;65;839
965495;4;70;524
597010;3;65;795
537188;4;10;510
173270;3;68;494
206553;4;80;657
993373;2;40;641
234468;4;83;511
619090;4;56;437
648665;3;65;694
140602;4;65;580
946917;3;76;640
719452;3;63;577
391702;3;10;480
786495;4;40;627
594983;3;68;800
876032;3;67;470
254830;4;70;521
110081;4;67;459
448700;2;53;666
380169;4;65;565
633808;4;65;587
635565;3;56;511
590405;2;68;568
782840;4;80;670
392150;4;20;484
773253;4;80;531
648610;4;72;658
605722;3;56;628
760808;3;50;525
518044;3;58;624
790456;2;10;399
658895;3;81;672
777225;3;56;394
865658;4;53;651
844717;3;48;499
663535;1;30;863
255861;4;70;366
960474;4;63;553
770626;3;65;679
570417;4;58;447
770225;3;54;573
492983;3;50;673
290987;2;47;856
744244;3;63;553
306331;3;65;732
959095;1;30;732
525956;2;68;598
293141;4;50;644
596198;4;79;744
105047;3;54;446
843942;2;47;679
239943;4;63;562
611191;4;63;577
337348;1;40;771
524879;4;67;604
338535;3;47;676
916190;2;53;689
145448;4;84;650
862296;3;65;447
896028;2;65;559
400749;3;52;569
630545;3;25;459
534285;2;65;536
449928;4;25;580
842934;4;86;582
225146;3;48;687
270309;3;54;567
330527;4;53;781
661003;3;70;606
458441;4;67;525
681930;3;81;662
